Blog	others	company	shows	done	took	play	behind	against	asked	site	several	thanks	finally	under	family	man	everyone	won	point	fun	media	possible	bit	google	start	trying	longer	instead	hard	set	less	game	night	often	line	team	giving	looks	someone	story	feel	number	bad	available	along	early	become	recently	important	far	told	information	short	internet	quite	place	isn	black	away	social	easy	power	anything	support	business	needs	coming	talk	including	season	released	future	please	probably	reading	com	second	almost	recent	photo	web	twitter	run	friends	house	four	music	tell	rather	personal	interesting	idea	space	reason	york	open	ways	pretty	seems	page	favorite	happy	true	problem	says	via	must	december	share	maybe	soon	announced	state	million	anyone	kind	seen	based	written	him	however	create	hand	whole	yes	book	five	deal	months	head	minutes	having	worth	public	makes	wanted	known	weeks	half	went	side	ask	care	service	fact	current	stuff	wrote	else	person	add	nothing	buy	came	facebook	order	following	takes	heard	american	project	america	hit	across	creating	taking	according	yesterday	popular	everything	aren	original	word	likely	above	experience	control	phone	meet	interview	earlier	wrong	group	special	running	system	self	able	report	nbsp	email	death	latest	couple	comments	step	call	single	school	level	large	wait	holiday	happen	features	city	john	talking	added	link	hope	goes	stop	art	decided	close	screen	attention	photos	morning	party	thinking	works	lead	whether	below	stories	fans	update	building	starting	entire	saw	version	ahead	links	process	write	data	paper	late	answer	front	gets	name	created	yourself	wasn	white	friend	amazon	ones	currently	article	similar	games	tuesday	wants	fast	hear	users	program	cool	learned	friday	completely	example	heart	third	pay	writing	turn	exactly	turned	seem	track	plan	planning	job	simple	mind	understand	government	lost	either	security	question	piece	sometimes	nice	children	hold	young	include	companies	red	november	women	pick	given	learn	tried	date	fan	move	perfect	couldn	view	believe	haven	gives	biggest	car	especially	mobile	face	national	launched	ready	questions	previous	save	although	posted	monday	problems	weekend	outside	enjoy	blue	hours	box	search	market	awesome	six	feature	law	style	food	term	series	books	leave	network	content	health	members	needed	wonderful	matter	store	note	points	release	movie	focus	main	guide	action	moment	user	opportunity	spent	rest	source	continue	christmas	image	mark	certain	digital	picture	age	woman	ten	sign	street	click	appears	brought	tools	taken	type	sort	provide	changes	remember	covered	happened	beyond	event	major	size	price	services	bring	success	etc	former	sound	itself	reports	moving	thousands	forward	form	chance	follow	device	choice	minute	turns	men	app	launch	movies	growing	history	beautiful	huge	amazing	product	playing	office	mean	expect	research	david	guess	knew	clear	later	cover	saying	copy	words	country	cut	smart	fight	north	complete	official	videos	interested	role	youtube	daily	per	design	access	hundreds	usually	themselves	science	goal	president	green	easily	university	published	apparently	sell	built	pages	local	paul	lots	terms	improve	among	simply	learning	addition	due	quickly	worked	myself	technology	center	immediately	readers	customers	whatever	press	amp	specific	dead	road	low	october	inside	sales	general	details	code	results	round	shared
Engadget RSS Feed	1	4	0	1	0	3	0	0	0	0	0	1	6	0	1	2	1	2	1	0	0	0	0	10	2	1	0	2	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	2	0	4	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	3	1	1	2	1	1	0	0	0	0	2	0	0	1	3	2	0	0	2	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	4	0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	3	1	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	1	1	1	5	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	2	1	0	1	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	8	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
Huffington Post	0	0	2	3	1	0	2	2	1	0	1	0	3	3	2	2	0	0	0	0	1	0	0	2	2	1	0	0	1	1	0	1	6	1	2	1	0	0	0	2	1	1	1	0	1	0	0	0	0	0	2	0	0	1	1	1	2	0	0	1	0	2	2	1	0	0	1	0	3	1	2	0	0	0	0	1	1	0	1	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	2	4	3	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	2	1	1	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	3	0	0	0	0	0	0	0	2	1	0	0	1	2	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	1	0	3	0	5	0	1	0	0	0	1	1	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	0	0	0	6	0	0	1	0	1	0	2	1	0	1	0	0	1	1	1	0	1	0	0	1	1	2	0	0	0	2	2	0	4	1	0	0	0	0	2	3	1	0	0	1	4	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	1	4	1	2	2	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	3	1	0	2	0	0	0	1	0	1	3	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	3	0	2	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	3	0	1	0	2	1	0	1	0	0	0	0	0	0	0	7	0	1	1	0	0	0	1	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0
Paul Krugman	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Techdirt.	2	6	6	10	1	3	5	13	2	6	7	2	3	13	5	8	9	11	21	1	2	4	4	10	3	9	3	5	2	8	14	19	2	8	4	2	1	6	6	29	3	11	14	3	4	0	2	6	14	4	2	21	4	27	4	11	9	1	2	2	0	1	5	6	8	10	2	1	6	0	1	0	5	5	2	8	7	13	3	0	3	3	3	4	8	6	2	2	16	7	6	7	0	5	2	8	5	8	10	8	1	0	6	10	2	4	5	0	2	5	0	0	3	13	10	4	5	3	3	13	8	5	0	6	2	1	3	2	3	2	3	9	2	21	8	0	7	0	3	3	1	1	3	9	15	6	4	5	5	15	1	3	5	4	0	12	4	1	1	3	1	2	2	0	1	5	9	0	0	4	5	4	0	10	1	2	4	9	1	3	4	8	4	2	0	5	6	10	10	100	28	9	6	4	25	1	9	4	3	5	5	0	0	1	1	1	4	17	1	1	1	5	7	0	2	0	0	9	3	1	4	1	4	2	10	0	1	0	2	2	1	5	3	3	0	1	10	0	26	3	1	4	2	1	9	2	0	9	6	0	0	6	1	2	4	27	0	2	0	0	1	5	1	3	0	11	5	5	3	11	1	4	5	1	9	5	5	1	4	0	5	4	29	4	7	7	7	5	2	0	5	2	0	1	6	4	1	0	0	7	0	10	1	0	6	0	3	4	4	3	1	1	2	3	2	3	9	0	2	4	2	2	1	2	0	7	1	1	1	0	1	0	8	5	4	5	1	23	0	3	5	1	0	0	3	6	1	5	5	0	4	4	3	21	0	5	3	3	0	2	1	2	3	1	1	1	2	0	3	1	6	1	4	0	3	0	2	1	1	15	2	1	2	0	4	8	3	3	2	6	5	1	7	1	2	8	1	3	2	2	2	9	1	2	2	5	0	2	5	2	0	1	2	1	0	1	0	0	0	1	3	1	1	14	4	7	1	24	1	1	1	3	4	3	7	1	4	11	0	3	3	0	7	4	0	1	2	2	0	4	0	19	3	2	1	2	1	2	0	2	12	4	15	0	1	1	0	0	4	3	3	1	5	1	4	4	2	2	0	2	3	3	1	4	0	7	0	1	3	0	2	1	2	0	2	3	3	8	0	1
PerezHilton	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Jezebel	0	1	1	0	0	2	1	1	0	0	1	0	1	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	2	2	0	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	2	0	0	1	0	2	2	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	100	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	0	3	1	0	0	0	4	0	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	4	0	0	0	0	2	2	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	7	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Kalyn's Kitchen	1	0	2	0	1	0	0	0	1	1	3	2	0	1	3	0	8	0	0	6	0	1	8	0	3	3	1	1	2	0	2	0	1	2	0	0	1	0	0	0	2	0	0	0	2	2	1	0	0	1	0	0	0	0	3	0	0	1	1	0	9	1	0	0	1	3	1	0	1	0	0	0	1	4	27	0	0	1	0	1	2	0	0	3	1	1	0	2	0	3	4	3	1	1	0	1	1	2	2	0	23	3	0	1	1	0	0	1	5	1	1	0	0	0	2	2	0	0	0	0	0	0	0	5	0	0	3	0	2	0	0	1	0	0	0	0	0	3	1	0	4	0	0	0	2	1	0	2	1	2	3	0	2	1	1	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	2	1	4	0	0	0	0	0	1	3	1	0	0	0	0	2	0	3	0	0	0	4	0	0	3	5	0	1	6	0	0	0	2	1	0	1	0	0	1	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	5	1	1	1	1	0	0	2	0	0	0	0	0	0	0	3	3	0	0	1	1	0	5	8	0	2	0	1	5	0	4	0	10	3	0	0	1	1	2	0	1	0	0	0	0	0	0	2	3	2	2	5	0	2	0	4	4	0	0	1	0	0	1	1	0	0	17	1	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	1	3	0	0	0	0	1	0	1	0	25	0	0	0	0	0	0	1	0	18	0	0	25	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	18	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	1	0	0	2	1	0	0	1	3	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	7	2
456 Berea Street	0	0	0	1	0	0	1	1	0	2	1	0	0	0	0	0	0	1	0	0	0	1	5	0	0	1	0	2	0	3	2	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	1	2	0	4	0	0	0	2	0	0	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	1	0	0	5	2	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	18	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pharyngula	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TechCrunch	0	12	1	0	1	0	2	1	0	0	1	3	3	0	0	2	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	1	1	2	0	2	1	1	0	1	1	1	0	0	0	3	0	1	0	0	1	6	0	1	2	1	0	0	0	0	2	0	1	2	0	1	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	4	0	0	0	0	1	3	0	10	0	0	0	10	0	0	0	0	0	1	0	0	1	0	3	0	0	0	1	1	2	0	0	0	0	0	1	0	0	4	0	3	0	1	0	0	2	0	1	0	0	1	0	1	1	1	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	1	1	2	1	0	2	0	4	0	1	0	0	2	0	0	1	0	2	0	0	1	0	1	1	1	0	0	0	2	1	2	1	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	2	0	0	2	0	0	1	1	0	0	0	0	4	0	3	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	4	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	1	1	0	1	2	6	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	2	0	0	1	1	0	1	0	1	0	1	1	0	2	0	0	2	1	2	0	0	8	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	1	2	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	5	1
Steve Pavlina's Personal Development Blog	0	0	0	1	0	4	1	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Little Green Footballs	1	0	0	4	1	0	1	5	2	7	3	2	1	0	1	1	1	3	3	1	2	1	9	0	1	1	2	4	1	3	3	0	5	1	1	0	1	5	1	13	2	2	0	2	0	0	1	1	4	2	2	1	2	1	0	0	2	6	0	4	0	0	2	2	3	2	0	3	1	0	2	1	1	0	0	12	0	1	2	1	0	2	5	2	2	1	3	2	1	0	1	0	3	2	2	5	0	1	1	7	1	0	5	3	4	0	6	2	0	2	1	0	4	0	3	1	0	6	1	0	6	2	1	2	2	0	0	7	2	0	4	4	0	1	3	0	0	1	0	0	0	1	15	0	2	1	2	1	1	0	0	0	2	3	3	0	2	1	0	3	0	3	0	0	2	2	5	4	0	3	1	2	3	2	2	1	1	0	0	1	0	1	6	2	0	1	0	1	10	0	0	0	0	0	2	1	3	0	0	0	1	1	1	0	1	0	1	1	2	3	0	0	4	1	2	3	0	1	0	1	1	0	0	0	0	0	3	0	2	4	0	2	0	3	0	3	1	1	1	1	2	0	2	3	0	1	1	0	5	1	8	2	0	7	0	0	4	0	0	1	0	1	0	0	3	1	3	0	0	1	0	1	0	0	1	2	3	0	2	0	3	1	13	0	0	6	0	4	0	0	1	2	2	2	0	0	0	1	1	0	1	0	0	0	0	1	2	0	8	0	1	0	0	2	0	4	4	0	0	0	1	2	3	1	9	2	4	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	3	2	2	10	2	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	3	2	2	0	1	0	2	1	0	1	1	0	0	2	1	0	1	1	0	0	1	2	2	1	2	0	0	2	0	3	1	0	0	1	1	1	1	5	0	2	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	2	1	0	0	3	3	0	0	3	0	0	2	0	1	2	0	1	6	2	0	0	0	0	2	1	0	2	10	4	0	0	0	0	0	0	2	1	9	4	0	0	0	0	0	1	4	4	2	0	0	0	1	0	0	2	2	0	0	2	0	0	1	0	0	2	2	0	0	0	0	4	1	0	0	0	1	0	0	1	0
